Num,TU1,TU2,TU3,TU4,TU5,TU6,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17
1,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
2,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
3,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
4,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
5,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
6,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
7,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
8,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
9,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
10,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
11,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
12,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
13,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
14,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
15,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
16,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
17,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
18,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
