序号,上部温度1,上部温度2,上部温度3,上部温度4,上部温度5,上部温度6,上部温度7,上部温度8,上部温度9,上部温度10,上部温度11,上部温度12,上部温度13,上部温度14,上部温度15,上部温度16,上部温度17,下部温度1,下部温度2,下部温度3,下部温度4,下部温度5,下部温度6,下部温度7,下部温度8,下部温度9,下部温度10,下部温度11,下部温度12,下部温度13,下部温度14,下部温度15,下部温度16,下部温度17
1,278.1037450114849,341.84568803438214,429.3617359542104,510.30501385076974,574.4563524320394,655.6215594842596,737.3970621068682,837,837,837,837,837,837,837,837,837,750,212.30222288084408,304.00354612521926,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
2,274.89322455409354,338.2911920310795,427.5140622163625,510.0978023815456,574.9335819231387,656.6409514561686,736.6993271158925,837,837,837,837,837,837,837,837,837,750,212.3934223022677,304.24647257376165,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
3,276.4693994999159,339.4485370995317,427.20890243321566,510.0978023815456,574.9335819231387,656.8602108253077,736.6993271158925,837,837,837,837,837,837,837,837,837,750,212.3934223022677,303.9627903712577,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
4,273.9914250637593,338.48324283675254,427.5122793870004,509.7823684596496,575.7522174892309,656.5538758338264,737.1560714869017,837,837,837,837,837,837,837,837,837,750,212.37616850559277,304.2274254643769,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
5,277.89572368703244,338.634066954951,427.62959718168014,510.4574556935398,574.1957272262906,652.6567139742767,736.9717666128998,837,837,837,837,837,837,837,837,837,750,211.83477224054425,304.3334582478737,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
6,276.70471277014553,339.5220448502593,427.3063560562079,510.1355785358916,574.86606211238,657.4022743234917,736.9476840035645,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
7,274.1163750040161,337.35899271194563,427.17563892737166,510.8127655279114,573.285664724227,653.158075666889,737.2620467467443,837,837,837,837,837,837,837,837,837,750,212.35840041469464,303.9550363008963,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
8,274.89322455409354,338.3762958261716,427.4807987105185,509.7848285775113,576.1910233068688,656.6198086519637,736.2172862808042,837,837,837,837,837,837,837,837,837,750,212.3766599703986,304.39160820687226,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
9,272.1818195695945,339.615358955067,426.9333963819317,504.4717833994038,569.9780603054869,660.5332517612225,737.9245899908312,837,837,837,837,837,837,837,837,837,750,202.88752399484963,303.61688566541284,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
10,276.435197318462,338.4835676150046,427.18967420409854,510.6230594010977,574.9154284104576,657.182599283045,736.8143464455069,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.5007486678415,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
