序号,上部温度1,上部温度2,上部温度3,上部温度4,上部温度5,上部温度6,上部温度7,上部温度8,上部温度9,上部温度10,上部温度11,上部温度12,上部温度13,上部温度14,上部温度15,上部温度16,上部温度17,下部温度1,下部温度2,下部温度3,下部温度4,下部温度5,下部温度6,下部温度7,下部温度8,下部温度9,下部温度10,下部温度11,下部温度12,下部温度13,下部温度14,下部温度15,下部温度16,下部温度17
1,245.67,329.96,406.72,503.61,573.46,647.48,735.74,837.18,837.07,837.28,837.27,837.12,836.8,836.4,837.18,838.5,752.22,218.12,300.71,400.07,499.97,519.25,608.75,720.02,836.99,494.29,837.09,836.68,836.79,836.84,836.86,836.74,837.16,750.12
2,245.67,329.71,406.59,503.89,573.62,647.51,735.71,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.98,218.79,300.78,400.05,500.07,522.69,608.88,719.99,836.99,494.3,837.09,836.72,836.77,836.85,836.87,836.76,837.2,750.12
3,245.77,329.75,406.58,503.98,573.7,647.49,735.68,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.25,218.91,300.79,400.23,500.02,522.26,608.88,720.04,836.99,494.24,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.1
4,245.7,329.72,406.34,503.93,573.65,647.52,735.71,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.83,300.78,400.1,500.08,522.69,608.81,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.11
5,245.18,330.97,406.64,503.89,573.6,647.5,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.19,838.55,752.03,214.74,300.65,400.2,500.04,522.68,608.89,719.97,836.99,494.26,837.04,836.73,836.76,836.79,836.87,836.78,837.16,750.16
6,245.7,330.29,406.4,503.93,573.64,647.51,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.97,218.7,300.75,400.1,500.05,522.68,608.89,719.99,836.99,494.29,837.09,836.72,836.77,836.84,836.87,836.76,837.18,750.13
7,245.77,329.72,406.78,503.94,573.67,647.5,735.68,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.34,218.72,300.79,400.08,500.02,522.24,608.88,720.04,836.99,494.25,837.09,836.74,836.77,836.81,836.87,836.76,837.19,750.14
8,245.7,330.3,406.36,503.93,573.64,647.51,735.71,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.57,300.75,400.08,500.05,522.69,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.19,750.11
9,245.57,330.15,406.05,505.63,573.46,655.92,735.8,837.2,837.1,837.28,837.19,837.09,836.88,836.38,837.32,838.48,751.89,218.35,300.75,399.86,500.16,522.87,608.71,720.65,836.91,494.17,837.08,836.79,836.8,836.8,836.88,836.84,837.15,750.08
10,245.61,329.34,406.54,503.99,573.48,647.51,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.98,218.9,300.75,400.21,500.03,522.7,608.75,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.15
11,245.61,329.96,406.77,503.95,573.45,647.52,735.74,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.66,300.75,400.14,500.01,522.69,608.75,720.0,836.99,494.26,837.09,836.73,836.77,836.81,836.87,836.76,837.19,750.15
12,245.61,329.54,406.54,503.98,573.52,647.52,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.65,300.75,400.19,500.04,522.68,608.89,720.0,836.99,494.25,837.09,836.74,836.77,836.81,836.87,836.76,837.17,750.13
13,245.61,329.66,406.54,503.99,573.53,647.51,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.9,300.75,400.18,500.05,522.67,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.07
14,245.61,330.32,406.48,503.93,573.57,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.84,300.78,400.08,500.1,522.67,608.77,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.06
